in19yTwFqy,Mayme Green,8743091544,"43 Annadale Rd. Menasha, WI 54952",KN,www.MaymeGreen.org,Minimalism
L2vFnWn5yt,Stanford Hampton,2738728093,"627 Walt Whitman Ave. Phoenix, AZ 85021",HT,www.StanfordHampton.net,Mid-Century
P9Vg4XQ5AK,Harlan Paul,7463153612,"537 South Buttonwood Court Hopewell, VA 23860",TV,www.HarlanPaul.net,Modern
YOpJVyms0T,Elouise Stanton,1355079530,"329 Shore Dr. Ridgecrest, CA 93555",LK,www.ElouiseStanton.biz,Contemporary
7RYpyw9es0,Casimira Carney,1437523438,"8498 Young Street Oklahoma City, OK 73112",ML,www.CasimiraCarney.com,Industrial
VXBvjILW4l,Kalyn Hardy,7435961046,"8026 Bayport Dr. Cartersville, GA 30120",GA,www.KalynHardy.org,Rococo
bjSmt6EX8o,Dione Dunn,2219847475,"108 Bohemia Avenue Faribault, MN 55021",BV,www.DioneDunn.net,Rococo
HUPang5JW4,Benita Wilkerson,1858449978,"9205 Heritage St. Shelbyville, TN 37160",RE,www.BenitaWilkerson.org,Modern
HACGEeYiTg,Azalee Mcmillan,8433984003,"180 Manor Station Road Newnan, GA 30263",BY,www.AzaleeMcmillan.com,Mid-Century
MBxLmTyDx0,Jere Delacruz,7492027753,"607 Garden Rd. Pataskala, OH 43062",AR,www.JereDelacruz.org,Transitional
c1jIajAyha,Ozie Avila,8468272349,"547 San Juan Court Oak Lawn, IL 60453",HN,www.OzieAvila.info,Minimalism
bDcoTRYgku,Sierra Novak,2695261566,"155 N. Elm Street Rego Park, NY 11374",VN,www.SierraNovak.org,Scandinavian
jMt9cpvHJ8,Virgen Grant,8256624098,"28 Thompson Street Chicopee, MA 01020",KE,www.VirgenGrant.net,Eclecticism
p3f6twELII,Elanor Reilly,9115174479,"7434 NE. Buttonwood Rd. Soddy Daisy, TN 37379",VI,www.ElanorReilly.biz,Mid-Century
yz0xcnsOMA,Rolande Bird,7247218336,"9435 Oak Street Gallatin, TN 37066",LS,www.RolandeBird.net,Scandinavian
ejSgB4P19T,Sparkle Yates,1847809810,"46 E. Glenlake Court Olympia, WA 98512",RW,www.SparkleYates.info,Minimalism
lA2l4dUPAN,Lakeshia Flowers,5911329769,"9635 West St Margarets Ave. Richmond Hill, NY 11418",GF,www.LakeshiaFlowers.biz,Transitional
pIdz2ArSJd,Sherrell Mcconnell,9195602302,"33 Indian Spring Rd. Manchester Township, NJ 08759",AX,www.SherrellMcconnell.biz,Modern
nxtwKjphvt,Rochel Allen,9578045441,"9201 Cedarwood Dr. Harvey, IL 60426",NG,www.RochelAllen.com,Modern
OLkEycvtOv,Alesia Hendrix,8749357327,"83 East Riverside Ave. Lumberton, NC 28358",NU,www.AlesiaHendrix.net,Modern
HULdxdPYgo,Larry Lozano,4249980563,"449 Purple Finch St. High Point, NC 27265",ZW,www.LarryLozano.org,Industrial
nUFwyC0BAj,Darryl Petersen,8744685507,"9330 North Ave. Cornelius, NC 28031",KG,www.DarrylPetersen.info,Shabby Chic
VyLXDToji5,Jeanine Matthews,3872132793,"146 Pennington Dr. East Elmhurst, NY 11369",BJ,www.JeanineMatthews.com,Modern
bOQ84LG8yQ,Stephanie Le,4937283463,"9 Summerhouse Court North Bergen, NJ 07047",FO,www.StephanieLe.net,Contemporary
KH4hmznKQN,Clifford Arroyo,8039090134,"94 N. Kirkland Ave. Manitowoc, WI 54220",EC,www.CliffordArroyo.com,Minimalism
7ZZbCsXnv0,Charmaine Pineda,4204843909,"497 Young Lane Panama City, FL 32404",NL,www.CharmainePineda.org,Rococo
UKHmNCJ1Ep,Roxane Parrish,8135651978,"64 N. Annadale Ave. Raeford, NC 28376",VC,www.RoxaneParrish.info,Transitional
czfBYIFNhs,Shelly Wise,1046485315,"570 West Boston Drive Wellington, FL 33414",KP,www.ShellyWise.com,Scandinavian
bBMMbiXWX2,Ludivina Hunt,7071474222,"9120 Santa Clara St. Huntington Station, NY 11746",GP,www.LudivinaHunt.net,Rococo
3lejckzNYS,Lyndia Butler,7034816719,"241 Morris Dr. Bowling Green, KY 42101",PE,www.LyndiaButler.org,Mid-Century
BVP4o4g0u6,Elfreda Simmons,8636586436,"7990 Evergreen Lane Cleveland, TN 37312",LV,www.ElfredaSimmons.info,Modern
BejwYSNzm7,Claribel Vasquez,6712497760,"256 Water Ave. Shelton, CT 06484",LA,www.ClaribelVasquez.org,Eclecticism
Xi0fOUOila,Lashawna Salas,9921926501,"37 San Carlos St. Gallatin, TN 37066",SL,www.LashawnaSalas.org,Mid-Century
hL6koxT8vK,Mazie Frye,5501650439,"741 Country Dr. Ypsilanti, MI 48197",AM,www.MazieFrye.info,Transitional
